X,Y,ID,FacilityNbr,FacilityStatus,FacilityName,LicenseType,StreetNbr,StreetName,City,State,Zip,County,OBLicenseNbr,OBBusinessName,OBFName,OBLName,OBTitle,OBAddress,OBAddress2,OBCity,OBState,OBZip,OBPhone1,OBPhone2,OBFax,Date_Opened,Date_Closed,Latitude,Longitude,Addr1,Addr2,F28,Bing,Type_,FFStationNetwork,FFStationNbr,StationNetwork,StationNbr,Geographic_Region,ACO,ACO_Name,ACO_PhoneNbr,DSE,DSE_Name,DSE_PhoneNbr,Field_FLSO,FLSO_Name,FLSO_PhoneNbr,SenateDistrict,AssemblyDistrict,CongressionalDistrict,Alirts_Facility_id,RCO,RCO_Name,RCO_PhoneNbr,PT1,PT1FullName,PT2,PT2FullName,RESPONSIBLE_REGION,ProposedBldgs,ObjectId
-13581026.4788691,4751419.02380653,17,10032,A,Colusa Medical Center,General Acute Care,199,E Webster St,Colusa,CA,95932,Colusa,OB10032,COLUSA MEDICAL CENTER,NullValue,NullValue,NullValue,199 E Webster St,NullValue,Colusa,CA,95932,5304585821,NullValue,5304588491,1953/07/01 00:00:00+00,1800/01/01 00:00:00+00,39.2073686,-122.0004366,"199, E Webster St, Colusa, CA, 95932","199 E Webster St, Colusa, CA 95932",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,ABASHARK,Ali Basharkhah,6192486389,GPAUL,Gregory Paul,9165910354,1,4,1,33,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,21
-13600692.7812378,4499829.21626482,19,10035,A,Stanford Health Care,General Acute Care,500,Pasteur Drive,Palo Alto,CA,94304,Santa Clara,OB10035,STANFORD HEALTH CARE,NullValue,NullValue,NullValue,500 Pasteur Dr,NullValue,Palo Alto,CA,94305,6507234000,NullValue,6507230074,2019/11/07 00:00:00+00,1800/01/01 00:00:00+00,37.434389,-122.177102,"500, Pasteur Drive, Palo Alto, CA, 94304","500 Pasteur Drive, Palo Alto, CA 94304",,,,CSMIP,58622,CSMIP,"58623; 58623; 58623",Coastal Region,RGEORGE,Richard George,9166283996,IKHARITO,Igor Kharitonoff,6502233971,JKELLY,John Kelly,9164408478,13,23,16,15453,RGEORGE,Richard George,9166283996,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Coastal Region,N,23
-13105755.0819024,3982110.72567514,20,10036,A,City of Hope National Medical Center Orange County,General Acute Care,1000,FivePoint,Irvine,CA,92618,Orange,OB10036,CITY OF HOPE NATIONAL MEDICAL CENTER ORANGE COUNTY,NullValue,NullValue,NullValue,15161 Alton Parkway,NullValue,Irvine,CA,92618,NullValue,NullValue,NullValue,1873/01/01 00:00:00+00,1800/01/01 00:00:00+00,33.651562,-117.731001,"1000, FivePoint, Irvine, CA, 92618","1000 FivePoint, Irvine, CA 92618",,,,,,,,South Los Angeles Region,DWOLFE,Daniel Wolfe,2139440519,HLI,Haoping Li,7146049713,MFONG1,Melvin Fong,2136206509,37,73,47,15778,RCHANDLER,Ray Chandler,9168094333,LAPT2,PT Closure LA,LAPT2,PT Closure LA,South Los Angeles Region,N,24
-13119517.3992297,3983556.432287,23,10039,A,University of California Irvine Medical Center - Irvine,General Acute Care,19210,Jamboree Rd,Irvine,CA,92612,Orange,OB10039,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER - IRVINE,NullValue,NullValue,NullValue,101 The City Drive South,NullValue,Irvine,CA,92686,7144566904,NullValue,NullValue,1873/01/01 00:00:00+00,1800/01/01 00:00:00+00,33.662372,-117.85463,"19210, Jamboree Rd, Irvine, CA, 92612","19210 Jamboree Rd, Irvine, CA 92612",,,,,,,,South Los Angeles Region,JFARAG,Joseph Farag,9165484443,HLI,Haoping Li,7146049713,MFONG1,Melvin Fong,2136206509,37,74,45,16014,RCHANDLER,Ray Chandler,9168094333,LAPT1,PT Intake LA,LAPT2,PT Closure LA,South Los Angeles Region,N,27
-13594356.2531829,4538623.58085298,25,10041,A,John George Psychiatric Hospital,Acute Psychiatric Hospital,2060,Fairmont Drive,San Leandro,CA,94578,Alameda,OB10041,JOHN GEORGE PSYCHIATRIC HOSPITAL,NullValue,NullValue,NullValue,2060 Fairmont Drive,NullValue,San Leandro,CA,94578,5103461300,NullValue,NullValue,1999/07/01 00:00:00+00,1800/01/01 00:00:00+00,37.7106,-122.12018,"2060, Fairmont Drive, San Leandro, CA, 94578","2060 Fairmont Drive, San Leandro, CA 94578",,,,,,,,Central Region,SEGAN,Shane Egan,5597970288,SGROSS,Shane Gross,5109672305,MMCCLURE,Mark McClure,9168623976,9,20,14,18307,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,29
-13584866.2443289,4577172.47643698,29,10048,A,John Muir Medical Center-Concord Campus,General Acute Care,2540,East Street,Concord,CA,94520,Contra Costa,OB10048,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,NullValue,NullValue,NullValue,2540 East Street,NullValue,Concord,CA,94520,9256828200,NullValue,9256742373,1946/01/01 00:00:00+00,1800/01/01 00:00:00+00,37.9840473,-122.0349298,"2540, East Street, Concord, CA, 94520","2540 East Street, Concord, CA 94520",,,,,,,,Central Region,BTREIS,Bart Treis,9162988743,BSTARKMAN,Bruce Starkman,9165918865,MMEISEL-KLEBSCH,Michel Meisel-Klebsch,9164408358,9,15,10,39,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,33
-13595796.4713589,4580353.8196942,30,10049,A,Contra Costa Regional Medical Center,General Acute Care,2500,Alhambra Avenue,Martinez,CA,94553,Contra Costa,OB10049,Contra Costa Regional Medical Center,NullValue,NullValue,NullValue,2500 Alhambra Avenue,NullValue,Martinez,CA,94553,9253705140,NullValue,9253705138,1953/07/02 00:00:00+00,1800/01/01 00:00:00+00,38.0065689,-122.1331177,"2500, Alhambra Avenue, Martinez, CA, 94553","2500 Alhambra Avenue, Martinez, CA 94553",,,,,,,,Central Region,BTREIS,Bart Treis,9162988743,BSTARKMAN,Bruce Starkman,9165918865,MMEISEL-KLEBSCH,Michel Meisel-Klebsch,9164408358,9,15,8,35,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,34
-13558804.3477833,4577123.93382552,31,10052,A,Sutter Delta Medical Center,General Acute Care,3901,Lone Tree Way,Antioch,CA,94509,Contra Costa,OB10052,SUTTER DELTA MEDICAL CENTER,NullValue,NullValue,NullValue,3901 Lone Tree Way,NullValue,Antioch,CA,94509,9257797200,NullValue,9257797276,1967/02/02 00:00:00+00,1800/01/01 00:00:00+00,37.9837036,-121.8008118,"3901, Lone Tree Way, Antioch, CA, 94509","3901 Lone Tree Way, Antioch, CA 94509",,,,,,,,Central Region,BTREIS,Bart Treis,9162988743,BSTARKMAN,Bruce Starkman,9165918865,JKELLY,John Kelly,9164408478,9,15,8,36,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,35
-13119012.120061,3986228.05717508,35,10062,A,UCI Health Rehabilitation Hospital,General Acute Care,2200,Morse Ave,Irvine,CA,92612,Orange,OB10062,10062 - UCI HEALTH REHABILITATION HOSPITAL,NullValue,NullValue,NullValue,17931 Von Karman Avenue,NullValue,Irvine,CA,92612,NullValue,NullValue,NullValue,1873/01/01 00:00:00+00,1800/01/01 00:00:00+00,33.682345,-117.850091,"2200, Morse Ave, Irvine, CA, 92612","2200 Morse Ave, Irvine, CA 92612",,,,,,,,South Los Angeles Region,JFARAG,Joseph Farag,9165484443,HLI,Haoping Li,7146049713,MFONG1,Melvin Fong,2136206509,-1,-1,0,-1,RCHANDLER,Ray Chandler,9168094333,LAPT1,PT Intake LA,LAPT2,PT Closure LA,South Los Angeles Region,N,39
-13587604.9709692,4564145.57699523,37,10072,A,Kaiser Foundation Hospital - Walnut Creek,General Acute Care,1425,S Main Street,Walnut Creek,CA,94596,Contra Costa,OB10072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,NullValue,NullValue,NullValue,1425 South Main Street,NullValue,Walnut Creek,CA,94596,9252954000,NullValue,9252955966,1953/09/11 00:00:00+00,1800/01/01 00:00:00+00,37.8917542,-122.0595322,"1425, S Main Street, Walnut Creek, CA, 94596","1425 S Main Street, Walnut Creek, CA 94596",,,,,,CSMIP,58199,Central Region,BTREIS,Bart Treis,9162988743,BSTARKMAN,Bruce Starkman,9165918865,JKELLY,John Kelly,9164408478,9,16,10,38,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,41
-13585668.1676767,4567309.66277785,39,10081,A,John Muir Medical Center-Walnut Creek Campus,General Acute Care,1601,Ygnacio Valley Road,Walnut Creek,CA,94598,Contra Costa,OB10081,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,NullValue,NullValue,NullValue,1601 Ygnacio Valley Road,NullValue,Walnut Creek,CA,94598,9259393000,NullValue,9259475218,1965/06/15 00:00:00+00,1800/01/01 00:00:00+00,37.9141818,-122.0421336,"1601, Ygnacio Valley Road, Walnut Creek, CA, 94598","1601 Ygnacio Valley Road, Walnut Creek, CA 94598",,,,,,,,Central Region,BTREIS,Bart Treis,9162988743,BSTARKMAN,Bruce Starkman,9165918865,MMEISEL-KLEBSCH,Michel Meisel-Klebsch,9164408358,9,16,10,37,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,43
-13358071.3944565,4709018.36035456,44,10109,A,Barton Memorial Hospital,General Acute Care,2170,South Ave,South Lake Tahoe,CA,96150,El Dorado,OB10109,BARTON MEMORIAL HOSPITAL,NullValue,NullValue,NullValue,PO Box 9578,NullValue,South Lake Tahoe,CA,96150,9165413420,NullValue,NullValue,1963/11/21 00:00:00+00,1800/01/01 00:00:00+00,38.91161,-119.997597,"2170, South Ave, South Lake Tahoe, CA, 96150","2170 South Ave, South Lake Tahoe, CA 96150",,,,,,,,North Region,HTRAN,Hoa Tran,9162060588,ABASHARK,Ali Basharkhah,6192486389,MMCCLURE,Mark McClure,9168623976,4,1,3,47,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,48
-13446380.1891551,4682427.78640543,46,10112,A,Marshall Medical Center,General Acute Care,1100,Marshall Way,Placerville,CA,95667,El Dorado,OB10112,MARSHALL MEDICAL CENTER,NullValue,NullValue,NullValue,1100 Marshall Way,NullValue,Placerville,CA,95667,5306221441,NullValue,5306262698,1959/05/22 00:00:00+00,1800/01/01 00:00:00+00,38.7255004,-120.7908884,"1100, Marshall Way, Placerville, CA, 95667","1100 Marshall Way, Placerville, CA 95667",,,,,,,,North Region,HTRAN,Hoa Tran,9162060588,ABASHARK,Ali Basharkhah,6192486389,MMCCLURE,Mark McClure,9168623976,4,5,5,48,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,50
-13396231.9830672,4321492.8510992,48,10122,A,Coalinga Regional Medical Center,General Acute Care,1191,Phelps Ave,Coalinga,CA,93210,Fresno,OB10122,COALINGA REGIONAL MEDICAL CENTER,NullValue,NullValue,NullValue,1191 Phelps Avenue,NullValue,Coalinga,CA,93210,5599356400,NullValue,5599356596,1946/03/11 00:00:00+00,1800/01/01 00:00:00+00,36.151538,-120.3403994,"1191, Phelps Ave, Coalinga, CA, 93210","1191 Phelps Ave, Coalinga, CA 93210",,,,,,,,Central Region,GCHRISTIANSEN,George Christiansen,9094969509,DMAYER,Douglas Mayer,9165297701,LDEARMON,Loren DeArmond,9167529087,14,27,13,51,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,52
-13334268.0256638,4403492.43946649,50,10127,A,Community Regional Medical Center,General Acute Care,2823,Fresno St,Fresno,CA,93721,Fresno,OB10127,COMMUNITY REGIONAL MEDICAL CENTER,NullValue,NullValue,NullValue,2155 Divisadero Ste. 2161,NullValue,Frenso,CA,93701,5594596000,NullValue,5594592450,1946/01/01 00:00:00+00,1800/01/01 00:00:00+00,36.7440643,-119.7837677,"2823, Fresno St, Fresno, CA, 93721","2823 Fresno St, Fresno, CA 93721",,,,,,,,Central Region,GCHRISTIANSEN,George Christiansen,9094969509,DMAYER,Douglas Mayer,9165297701,ABILLIET,Adam Billiet,9162046950,14,31,21,52,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,54
-13589837.7950516,4490468.42138912,54,10140,A,El Camino Hospital D/P APH,Acute Psychiatric Hospital,2590,Grant Rd,Mountain View,CA,94040,Santa Clara,OB10140,EL CAMINO HOSPITAL D/P APH,NullValue,NullValue,NullValue,2590 Grant Rd.,NullValue,Mountain View,CA,94040,1234567890,NullValue,NullValue,1991/12/31 00:00:00+00,1800/01/01 00:00:00+00,37.367588,-122.07959,"2590, Grant Rd, Mountain View, CA, 94040","2590 Grant Rd, Mountain View, CA 94040",,,,,,,,Coastal Region,RGEORGE,Richard George,9166283996,IKHARITO,Igor Kharitonoff,6502233971,GPAUL,Gregory Paul,9165910354,13,23,16,18532,RGEORGE,Richard George,9166283996,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Coastal Region,N,58
-13332248.3895382,4416185.19583001,55,10155,A,Saint Agnes Medical Center,General Acute Care,1303,E Herndon Ave,Fresno,CA,93720,Fresno,OB10155,SAINT AGNES MEDICAL CENTER,NullValue,NullValue,NullValue,1303 East Herndon Avenue,NullValue,Fresno,CA,93720,5594493720,NullValue,5594503990,1975/03/22 00:00:00+00,1800/01/01 00:00:00+00,36.8353767,-119.765625,"1303, E Herndon Ave, Fresno, CA, 93720","1303 E Herndon Ave, Fresno, CA 93720",,,,,,,,Central Region,GCHRISTIANSEN,George Christiansen,9094969509,DMAYER,Douglas Mayer,9165297701,ABILLIET,Adam Billiet,9162046950,12,8,20,58,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,59
-13313634.2789963,4379054.11747025,57,10160,A,Adventist Health Selma,General Acute Care,1411,Rose Ave,Selma,CA,93662,Fresno,OB10160,ADVENTIST HEALTH SELMA,NullValue,NullValue,NullValue,1141 Rose Avenue,NullValue,Selma,CA,93662,5598911000,NullValue,NullValue,1962/10/17 00:00:00+00,1800/01/01 00:00:00+00,36.5679474,-119.5984116,"1411, Rose Ave, Selma, CA, 93662","1411 Rose Ave, Selma, CA 93662",,,,,,,,Central Region,BBIGGAR,Bruce Biggar,6615290858,DMAYER,Douglas Mayer,9165297701,LDEARMON,Loren DeArmond,9167529087,14,31,21,55,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,61
-13297261.8535684,4384585.46423381,59,10162,A,Adventist Health Reedley,General Acute Care,372,W Cypress Ave,Reedley,CA,93654,Fresno,OB10162,ADVENTIST HEALTH REEDLEY,NullValue,NullValue,NullValue,372 West Cypress Avenue,NullValue,Reedley,CA,93654,5596388155,NullValue,5596377555,1965/04/14 00:00:00+00,1800/01/01 00:00:00+00,36.6078448,-119.4513356,"372, W Cypress Ave, Reedley, CA, 93654","372 W Cypress Ave, Reedley, CA 93654",,,,,,,,Central Region,BBIGGAR,Bruce Biggar,6615290858,DMAYER,Douglas Mayer,9165297701,LDEARMON,Loren DeArmond,9167529087,14,33,21,56,KJANSEN,Kip Jansen,9162020047,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,Central Region,N,63
-13604101.5064974,4796506.97258721,61,10175,A,Glenn Medical Center,General Acute Care,1133,W Sycamore St,Willows,CA,95988,Glenn,OB10175,GLENN MEDICAL CENTER,NullValue,NullValue,NullValue,1133 West Sycamore Street,NullValue,Willows,CA,95988,9169346461,NullValue,NullValue,1953/07/01 00:00:00+00,1800/01/01 00:00:00+00,39.5205112,-122.2077231,"1133, W Sycamore St, Willows, CA, 95988","1133 W Sycamore St, Willows, CA 95988",,,,,,,,North Region,JMARTIN,Jamel Martin,9168094341,ABASHARK,Ali Basharkhah,6192486389,GPAUL,Gregory Paul,9165910354,1,3,1,65,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,65
-13819167.0112431,4981125.23370779,62,10180,A,The General Hospital,General Acute Care,2200,Harrison Ave,Eureka,CA,95501,Humboldt,OB10180,THE GENERAL HOSPITAL,NullValue,NullValue,NullValue,2200 Harrison Avenue,NullValue,Eureka,CA,95501,7074455111,NullValue,7072693846,1953/07/01 00:00:00+00,1800/01/01 00:00:00+00,40.7880232,-124.1396894,"2200, Harrison Ave, Eureka, CA, 95501","2200 Harrison Ave, Eureka, CA 95501",,,,,,,,North Region,THO,Tony Ho,9162013281,BSTARKMAN,Bruce Starkman,9165918865,KKORFF,Kimberly Korff,9169957404,2,2,2,66,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,66
-13818814.2397768,4950930.76204584,64,10183,A,Providence Redwood Memorial Hospital,General Acute Care,3300,Renner Dr,Fortuna,CA,95540,Humboldt,OB10183,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,NullValue,NullValue,NullValue,3300 Renner Drive,NullValue,Fortuna,CA,95540,7074458121,NullValue,7072693846,1957/03/19 00:00:00+00,1800/01/01 00:00:00+00,40.5823402,-124.1365204,"3300, Renner Dr, Fortuna, CA, 95540","3300 Renner Dr, Fortuna, CA 95540",,,,,,,,North Region,THO,Tony Ho,9162013281,BSTARKMAN,Bruce Starkman,9165918865,KKORFF,Kimberly Korff,9169957404,2,2,2,69,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,68
-13819475.8449064,4980483.31619327,65,10184,A,Providence St. Joseph Hospital,General Acute Care,2700,Dolbeer St,Eureka,CA,95501,Humboldt,OB10184,PROVIDENCE ST. JOSEPH HOSPITAL,NullValue,NullValue,NullValue,2700 Dolbeer Street,NullValue,Eureka,CA,95501,7074458121,NullValue,7072693846,1954/07/26 00:00:00+00,1800/01/01 00:00:00+00,40.7836571,-124.1424637,"2700, Dolbeer St, Eureka, CA, 95501","2700 Dolbeer St, Eureka, CA 95501",,,,CSMIP,89781,CSMIP,89770,North Region,THO,Tony Ho,9162013281,BSTARKMAN,Bruce Starkman,9165918865,KKORFF,Kimberly Korff,9169957404,2,2,2,70,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,69
-13780454.7455,4880728.7089774,66,10186,A,Jerold Phelps Community Hospital,General Acute Care,733,Cedar St,Garberville,CA,95542,Humboldt,OB10186,JEROLD PHELPS COMMUNITY HOSPITAL,NullValue,NullValue,NullValue,733 Cedar Street,NullValue,Garberville,CA,95542,7079233921,NullValue,7079231456,1963/08/20 00:00:00+00,1800/01/01 00:00:00+00,40.1016769,-123.7919312,"733, Cedar St, Garberville, CA, 95542","733 Cedar St, Garberville, CA 95542",,,,,,,,North Region,THO,Tony Ho,9162013281,BSTARKMAN,Bruce Starkman,9165918865,KKORFF,Kimberly Korff,9169957404,2,2,2,68,CPONCE,Cesar Ponce,6509062134,SACPT1,PT Intake Sac,SACPT2,PT Closure Sac,North Region,N,70
